,CGBA,HSJA,TtBA,DACES,TA,CGBA_rank,HSJA_rank,TtBA_rank,DACES_rank,TA_rank,q,CGBA_rank_squared,HSJA_rank_squared,TtBA_rank_squared,DACES_rank_squared,TA_rank_squared
9790,0.9105842709541321,0.6458718180656433,0.7921370267868042,2.3033826,2.148435592651367,3.0,1.0,2.0,5.0,4.0,5000.0,9.0,1.0,4.0,25.0,16.0
4339,2.1245908737182617,0.6288748979568481,0.6006753444671631,3.8304312,3.268176555633545,3.0,2.0,1.0,5.0,4.0,5000.0,9.0,4.0,1.0,25.0,16.0
7170,0.7815337777137756,0.3704787790775299,0.45729514956474304,1.722874,1.35348379611969,3.0,1.0,2.0,5.0,4.0,5000.0,9.0,1.0,4.0,25.0,16.0
1446,,0.863237738609314,0.16179259121418,,,,2.0,1.0,,,2000.0,,,,,
6512,,0.5345866084098816,0.535567045211792,,,,1.0,2.0,,,2000.0,,,,,
952,,1.2067221403121948,0.8529714345932007,,,,2.0,1.0,,,2000.0,,,,,
9181,,0.3745967745780945,0.4603869616985321,,,,1.0,2.0,,,2000.0,,,,,
7803,,0.1867668181657791,0.20442843437194824,,,,1.0,2.0,,,2000.0,,,,,
8185,,0.2995346486568451,0.20057013630867004,,,,2.0,1.0,,,2000.0,,,,,
3898,,0.06318890303373337,0.06400889903306961,,,,1.0,2.0,,,2000.0,,,,,
Winner,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
